observation_id,inn,smiles,column_chemistry,column_length_mm,column_id_mm,particle_um,modifier,organic_percent,pH,buffer,flow_ml_min,temperature_c,retention_time_min,sample_weight,is_approximate,condition_completeness,source_file,source_page,extraction_confidence,evidence
auto-00015,benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN,150.0,4.6,5.0,,,,False,1.0,30,7.0,0.45,1,0.6667,ЛП-№(000540)-(РГ-RU)-120124.pdf,12,high,"бования теста «Проверка пригодности хроматогра - фической системы» Скорость потока 1,0 мл/мин Температура колонки 30 °С Детектирование УФ детектор, 239 нм Объем пробы 10 мкл Время удерживания пика бензидамина Около 7 мин Время удерживания пика метилпарагидроксибензоата Около 5 мин Время хроматог"
auto-00016,benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN,150.0,4.6,5.0,,,,False,1.0,30,5.0,0.45,1,0.6667,ЛП-№(000540)-(РГ-RU)-120124.pdf,12,high,"фической системы» Скорость потока 1,0 мл/мин Температура колонки 30 °С Детектирование УФ детектор, 239 нм Объем пробы 10 мкл Время удерживания пика бензидамина Около 7 мин Время удерживания пика метилпарагидроксибензоата Около 5 мин Время хроматографирования 10 мин Хроматографируют РСО А и испытуемый раствор,"
auto-00017,benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN,150.0,4.6,5.0,,,,False,1.0,30,6.0,0.45,1,0.6667,ЛП-№(000540)-(РГ-RU)-120124.pdf,15,high,"ора 260 °С Условия Head space Температура флакона – 40 °С, время уравновешивания – 5 мин, температура иглы – 50 °С Объем вводимой пробы 1 мл Время хроматографирования 10 мин Время удерживания пика этанола Около 6 мин"
auto-00019,aztreonam,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,C18,300.0,3.9,10.0,methanol,,,False,0.7,25,11.0,0.5,1,0.7778,ЛП-№(004046)-(РГ-RU)-191223.pdf,11,high,"ное содержание этих двух примесей); азтреонам (Z-изомер) - 1,0; азтреонам дезсульфатированный - около 1,6; азтреонама E-изомер - около 1,8; азтреонама этиловый эфир - около 3,7. Время удерживания пика азт- реонама - около 11 мин (приводится в качестве справочной информации). Условия хроматографирования явл"
auto-00020,aztreonam,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,C18,300.0,3.9,10.0,,,,False,0.7,25,11.0,0.45,1,0.6667,ЛП-№(004046)-(РГ-RU)-191223.pdf,14,high,"а колонки: 25 °С. Скорость потока: 0,7 мл/мин. Детектор: диодно-матричный детектор (DAD), 254 нм. Объем вводимой пробы:10 мкл. Время фиксирования хроматограммы: около 30 мин. Время удерживания пика азтреонама - около 11 мин (приводится в качестве спра- вочной информации)."
auto-00022,entecavir,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,,,,,acetonitrile,8.0,,False,,,30.0,0.1667,0,0.2222,НД.pdf,2,low,"образце; Хо- заявленное содержание энтекавира в стандартном образце. Если на хроматограмме испытуемого раствора площадь пика энтекавира при времени удерживания в пределах 5 % от времени удерживания пика энтекавира на хроматограмме стандартного раствора, составляет меньше 0,2 % от площади пика, найденной для стандартного раствора, подтверждают отсутствие © энтекавира в таблетках. РАСТВОРЕНИЕ Норма: Не менее 80 % (О) через 30 мин."
auto-00024,entecavir,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,,,,,acetonitrile,8.0,,False,,,5.0,0.2917,0,0.2222,НД.pdf,8,medium,"системы (Zymark Multidose): 20 мл промывка и 1,5 мл отбор образца (среду не заменяют). AA12S03-1546WT 150 x 4,6 мм, размер частиц 3 мкм или аналогичная). Длина волны | 254 HM ~ Время удерживания | ~ 5 мин пика энтекавира Исходный стандартный раствор (готовится дважды). В мерную колбу"
auto-00026,entecavir,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,АМИНО,100.0,4.6,3.0,,,,False,,,12.5,0.4083,0,0.4444,НД.pdf,16,medium,"9:1:0,1 рижан a НД С. 17 Время = 35 Мин. ры Объем задержки | 1,1 мл п Программа градиента Время (минуты) Профиль i eee [о № [о [иен e 27=28 0-100 100-0 Возвращение к oe И ПЕ ПИ - Время удерживания пика энтекавира (BMS-200475-01) ~ 12,5 мин. - Относительное время удерживания пика BMS-588659-01 ~ 1,65*. | - Относительно"
auto-00027,bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,C18,250.0,4.6,5.0,acetonitrile,20.0,,True,1.0,20,20.0,0.55,1,0.8889,бипрол.pdf,9,high,"ние анализа В жидкостной хроматограф последовательно вводят по 10мкл. испытуемого раствора, раствора для идентификации примесей, раствора сравнения и регистрируют хроматограммы. a Время удерживания бисопролола около 20 мин."
auto-00029,bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,C8,150.0,4.6,5.0,acetonitrile,25.0,,True,1.0,30,4.2,0.55,1,0.8889,бипрол.pdf,14,high,"щие условия: Проведение анализа В жидкостной хроматограф последовательно вводят по 10 мкл испытуемого раствора, раствора СО бисопролола фумарата и регистрируют хроматограммы. © Время удерживания бисопролола около 4,2 мин, фумаровой кислоты около 2,0 мин. gm 2a Sa Ви 180 OP _ 519° G*P 0,05 (для дози"
auto-00030,vildagliptin,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,,,,,acetonitrile,10.0,6.5,True,2.5,35,2.0,0.2667,0,0.5556,галвус.pdf,12,low,"ров (эквивалентно 0,5 мкг вилдаглиптина в стандартном растворе) Время хроматографирования: 3 мин следующие условия: — на хроматограмме среды растворения не должно быть пика со временем удерживания вилдаглиптина с площадью более 1 % от средней площади пика вилдаглиптина на хроматограмме стандартного раствора; — время удерживания пика вилдаглиптина на хроматограмме стандартного раствора Та должно быть от 1,0 до 2,0 мин; — фактор асимметрии пика вилдаглиптина, рассчитанный по хроматограмме первого"
auto-00031,moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,PHENYL,250.0,4.6,5.0,,,,False,0.9,45,6.8,0.45,1,0.6667,ксафлом.pdf,21,high,"ость хроматографической колонки, рассчитанная по пику моксифлоксацина, — не менее 2000 теоретических тарелок. ® Фактор асимметрии пика моксифлоксацина — не более 2,0. Примечание: Время удерживания пика моксифлоксацина — около 6,8 минут. Хроматографические условия Колонка : УМС Pack Phenyl (фирмы YMC Co., Ltd. Я"
auto-00032,moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,C18,75.0,4.6,3.5,,,,False,1.0,,8.8,0.4,1,0.5556,ксафлом.pdf,25,high,"хроматографической колонки, рассчитанная по пику моксифлоксацина, — не менее 2000 теоретических тарелок. ® Фактор асимметрии пика моксифлоксацина — не более 2,0. Примечания: 2. Время удерживания пика 8-гидроксимоксифлоксацина — около 8,8 мин. Стандартный раствор: e Относительное стандартное отклонение площадей пика 8-г"
auto-00033,moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,,300.0,7.8,10.0,,,,False,0.8,30,14.0,0.4,1,0.5556,ксафлом.pdf,32,high,"вность хроматографической колонки, рассчитанная по пику борной кислоты, — не менее 3000 теоретических тарелок. ® Фактор асимметрии пика борной кислоты - не более 2,5. Примечание: Время удерживания пика борной кислоты -— около 14 минут. Хроматографические условия Колонка : Ultrahydrogel 120 ТМ (фирмы Waters), 3"
auto-00034,atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,,,,,acetonitrile,42.105,,True,,,10.4,0.2917,0,0.2222,липримар.pdf,22,medium,"у хроматографа последовательно вводят по 20 мкл растворителя, стандартного раствора, затем испытуемый раствор. Регистрируют не менее пяти хроматограмм и вычисляют площади пиков. Время удерживания для аторвастатина — от 7,7 до 10,4 мин; для РО 130694 — от 10,6 до 14,4 минут. Содержание аторвастатина (X, мг/таб) в"
auto-00037,riociguat,COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,C18,100.0,4.6,3.5,acetonitrile,,,False,2.0,,2.83,0.45,1,0.6667,лп-002639[2014]_0.pdf,26,high,"роцедура | В колонку хроматографа последовательно и раздельно вводят все приготов- | | ленные испытуемые, стандартные и контрольные растворы. Хроматограммы испытуемых растворов по времени удерживания основного пика (риоцигуа- | та) должны соответствовать хроматограммам стандартных растворов. | Время удерживания риоцигуата должно быть около 2,83 мин. | Таблица 6."
auto-00039,meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,,,,,methanol,37.0,,True,,,11.0,0.25,1,0.2222,лср-004199_08-150520.pdf,8,high,ванных примесей Порядок инжекций | О И Раствор для проверки чувствительности хроматографиче- 2 & ской системы Раствор для проверки пригодности хроматографической 2 системы Е И ОСИ Время удерживания пика мелоксикама — около от 6 до 11 мин. Относительные времена удерживания | НД С. 10 Результаты анализа считаются до
auto-00040,meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,C18,50.0,4.6,2.7,methanol,37.0,,True,,,11.0,0.45,1,0.6667,лср-004199_08-150520.pdf,13,high,"ографической системы» . Предколонка 10,0 х 4,0 мм, силикагель октадецилсилильный эндкепи-, рованный, размер частиц — 5мкм, Intersil ODS-3 («GL Science Inc.», кат. № 5020-19003) ‹ Время удерживания пика мелоксикама — около от 8 до 11 мин. Порядок инжекции с ИИ ОИСИ Результаты считаются достоверными при выполнении у"
auto-00041,phosphocreatine,NC(=N)N(C)CC(=O)O,C8,,,5.0,,,,True,1.5,,15.0,0.3,1,0.3333,неотон.pdf,17,high,"азвуком или гелием). Скорость потока: 1,5 мл/мин; Температура колонки: комнатная температура; Температура образца: 25 °C; Детектор: УФ, 220 нм; Объем вводимой пробы: 20 мкл; Время удерживания пика фосфокреатина: около 15 мин; Результаты анализа считаются достоверными, если вып олняются требования тест"
auto-00042,ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,,,,,acetonitrile,60.0,,True,,22,15.0,0.2,0,0.3333,нурофен_экспресс_форте.pdf,1,low,"ную жидкость от бесцветного до светло-розового & цвета Подлинность Ибупрофен BOXKX Время удерживания пика ибупрофена на хроматограмме испытуемого — раствора должно соответствовать времени удерживания пика ибупрофена на хроматограмме стандартного раствора (см. раздел «Количественное определение») РН Евр. Ф. / ГФ РФ“, | От 6,0 до 7,0 потенциометричес кий метод Распадаемость Евр. Ф. / ГФ РФ“ | Не более 15 мин И ИИ Растворение?? Евр. Ф. /ГФРФ* | Не менее 75% (0) через 3З0мин от pe | per ["
auto-00043,ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,C8,150.0,4.6,5.0,,,,False,2.0,,20.0,0.2667,0,0.5556,нурофен_экспресс_форте.pdf,19,low,"гликолевых эфиров ибупрофена наряду с пиками ибупрофена. Разрешение между пиками ибупрофена и полиэтиленгликолевых эфиров ибупрофена должно составлять не менее 1,5. Относительные времена удерживания пиков (ВКТ) г ~~ )матографические условия Колонка Zorbax Eclipse XDB-C8, 150 x 4,6 мм, 5 мкм или аналогичная Скорость потока 2,0 мл/мин Режим изократический у Температура колонки комнатная Объем вводимой пробы 20 мкл Время анализа 20 мин ЛСР-005587/10-280322 С.21 Детектор УФ С помощью диодно-матричного детектора мо"
auto-00044,zoledronic acid,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,C18,,,5.0,,,,False,1.2,30,19.0,0.35,1,0.4444,остеостатикс.pdf,9,high,"Скорость потока: 1,2 мл/мин; Температура колонки: 30 °C; Детектор: УФ, 215 нм”; референсная длина волны: 360 нм с шириной 100 нм; Объем пробы: 200 мкл (объем петли — 900 мкл). Время удерживания золедроновой кислоты около 19 мин. Время хроматографирования — 72 мин (время хроматографирования © стандартных р"
auto-00045,zoledronic acid,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,C18,250.0,4.6,5.0,acetonitrile,,,True,0.7,20,9.0,0.5,1,0.7778,остеостатикс.pdf,16,high,": УФ, 215 нм; Объем пробы: 200 мкл (объем петли — 900 мкл). Время хроматографирования — 60 мин (время хроматографирования стандартных растворов может быть уменьшено до 30 мин). Время удерживания пика золедроновой кислоты — около 9 мин. НД С. 18 Проверка пригодности хроматографической системы Хроматографируют рас"
auto-00047,pramipexole,CCCNC1CCc2nc(N)sc2C1,,150.0,4.6,5.0,,,,False,1.5,40,30.0,0.2667,0,0.5556,прамипексол.pdf,2,low,"© белого цвета с фаской. На одной стороне риска и равировка «12» Подлинность ВЭЖХ Время удерживания основного пика на хроматограмме испытуемого раствора должно соответствовать времени удерживания основного пика & на хроматограмме раствора стандартного образца 1 (см. раздел «Количественное определение» Растворение ГФ РФ, Не менее 80 % (Q) > вэжх Cio Hi7 Ns S-2HCI-H,O (прамипексола дигидрохлорида моногидрата) через 30 минут По внешнему виду должны соответствовать требованиям ГФ РФ, ОФС.1.4.1.0015.15"
auto-00048,pramipexole,CCCNC1CCc2nc(N)sc2C1,C1,150.0,4.6,5.0,,,,False,1.5,40,2.5,0.525,0,0.6667,прамипексол.pdf,7,medium,"е сигнал/шум для пика прамипексола Ha хроматограмме раствора для проверки чувствительности системы не менее 10:1. При расчете содержания примесей не учитываются системные пики со временем удерживания менее 2,5 минут и пики, площадь которых менее 0,05 % площади пика прамипексола на хроматограм"
auto-00049,mirtazapine,CN1CCN2c3ccccc3Cc3cccnc3C2C1,,,,,methanol,10.0,,False,,,45.0,0.1667,0,0.2222,ремерон.pdf,2,low,"не должно соответствовать пятну миртазапина на хроматограмме раствора сравнения 1В. ~ ВЭЖХ Отношение времени удерживания основного пика на хроматограмме испытуемого раствора tA ко времени удерживания пика миртазапина на хроматограмме стандартного раствора гА должно быть в пределах 0,980 < В < 1,020. Растворение УФ-спетрофото- |Не менее 80 % (Q=75) от метрия. заявленного содержания через Евр.Ф., ГФ РФ) |45 мин Родственные примеси | ВЭЖХ Идентифицированные продукты разложения: примесь А ЕФ"
auto-00050,rivaroxaban,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,,150.0,4.6,3.5,,,,False,,60,15.0,0.2333,0,0.4444,ривар_крка.pdf,3,low,"о цвета с гравировкой «20» на одной стороне таблетки. Идентификация** | Время удерживания основного пика на | ВЭЖХ хроматограмме испытуемого раствора (SaS) должно соответствовать времени удерживания пика ривароксабана на хроматограмме стандартного раствора (55). Растворение Не менее 80% (О) ривароксабана от | ГФРФ* или (для таблеток заявленного количества через 15 мин. Ph. Eur., 2,5 мг) УФ-спектро- Растворение Не менее 80% (О) ривароксабана от |"
auto-00051,rivaroxaban,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,,150.0,4.6,3.5,acetonitrile,90.0,,False,1.0,25,34.0,0.2,1,0.7778,ривар_крка.pdf,22,low,"ксабана на основании хроматограмм стандартного раствора, используя метод внешнего стандарта. Затем вводят испытуемый раствор (SaS), регистрируют хроматограммы и оценивают отклики (время удерживания и площадь) пиков примесей ривароксабана. © Оценивают родственные примеси ривароксабана относительно пика ривароксабана на хроматограмме стандартного раствора ($$). Не учитывают пики холостого раствора (BL), плацебо (Rt около 34 минут) и пики примесей, площадь которых меньше или равна 0,10 %. Содержание родств"
auto-00052,duloxetine,CNCCC(Oc1cccc2ccccc12)c1cccs1,C8,75.0,4.6,3.0,,,,False,1.5,50,7.0,0.18,1,0.6667,симбалта.pdf,33,low,"ºС; Скорость потока - 1,5 мл/мин; Детектор - УФ при 230 нм; Время хроматографирования - более 15 мин или в 2,5 раза более времени удерживания пика N-сукциноил дулоксетина (время удерживания пика N-сукциноил дулоксетина устанавливается по раствору для проверки разрешения ). Если проводится только количественное определение или определение однородности дозирования, то время хроматографирования составляет около 7 мин. C. 35 Проверка пригодности хроматографической системы:"
auto-00054,silodosin,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,,150.0,4.6,3.5,acetonitrile,,,True,0.9,,15.0,0.2667,0,0.5556,урорек.pdf,2,low,"а. Подлинность ВЭЖХ Время удерживания основного пика Силодозин (Одновременно с (первого) на хроматограмме испытуемого количественным раствора должно соответствовать определением) времени удерживания основного пика (первого) на хроматограмме стандартного раствора силодозина. Растворение? Евр. Ф. (2.9.3) или ГФ Не менее 80 % (О) от заявленного & РФ, ОФС.1.4.2.0014.15, | количества силодозина переходит в ВЭЖХ раствор через 15 мин. Родственные примеси | ВЭЖХ Примесь KMD-3241 - не более 1,5 % Примесь KMD-3289"
auto-00055,silodosin,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,,150.0,4.6,3.5,acetonitrile,9.091,,True,0.9,,6.0,0.45,1,0.6667,урорек.pdf,9,high,"раствор 0,1 М=27: 73 (о/о) Скорость потока: 0,9 мл/мин | О ФЗ О. Детектор: 270 нм (УФ) Температура колонки: (40 =2) °С Объем пробы: 50 мкл Время анализа: 10 мин Приблизительное время удерживания пика около 6 мин силодозина: Последовательность ввода проб: 1. Холостой раствор (среда раствор"
auto-00056,silodosin,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,,250.0,4.6,5.0,,,,True,1.4,30,14.0,0.4,1,0.5556,урорек.pdf,12,high,мл/мин Детектор: 225 нм (УФ) Температура колонки: (40 + 2) °C Объем пробы: 25 мкл Время хроматографирования: 55 мин © Время уравновешивания 10 мин после инжекции: Приблизительное время удерживания пика: Силодозина около 14 мин Примеси КМО-3241 около 20 мин Примеси KMD-3289 около 23 мин Градиентная програм
auto-00057,moxonidine,COc1nc(C)c(NC2=NCCN2)nc1Cl,C8,125.0,3.0,3.0,acetonitrile,,,False,,,8.8,0.4,1,0.5556,физиотенз.pdf,3,high,"%). ww Испытание проводят визуально. ~ ПОДЛИННОСТЬ ВЭЖХ Норма: Время удерживания основного пика на хроматограмме испытуемого раствора должно с погрешностью | % соответствовать времени удерживания основного пика на хроматограмме стандартного раствора. Определение проводят одновременно с тестом «Количественное определение». Время удерживания моксонидина составляет около 8,8 мин. УФ-спектр © Норма: УФ-спектры испытуемого и стандартного растворов в области"
auto-00062,moxonidine,COc1nc(C)c(NC2=NCCN2)nc1Cl,,250.0,4.0,5.0,acetonitrile,,,False,,,15.0,0.4083,0,0.4444,физиотенз.pdf,32,medium,"й раствор (для количественного определения) для дозировки 0,2 мг или 0,4 мг- 2 раза. ® Растворитель (контрольный опыт): оценивают степень загрязнения. Высота сигналов в интервале времен удерживания от 3 до 15 мин должна быть < 150 цАЦП. ® Раствор для определения пригодности хроматографическо"
auto-00063,escitalopram,CN(C)CCCC1(c2ccc(C#N)cc2)OCc2cc(F)ccc21,C18,,,5.0,methanol,7.0,,True,1.0,,0.2,0.6667,0,0.5556,ципралекс.pdf,2,high,"через 30 мин Евр. Фарм. (2.9.3.) и Фарм. Метод: визуальный ИДЕНТИФИКАЦИЯ Норма: Время удерживания основного пика на хроматограмме испытуемого раствора должно соответствовать времени удерживания основного пика на хроматограмме стандартного раствора эсциталопрама (стандартного раствора А). Допустимое отклонение ΔRT составляет не более 0,2 мин. Метод: ВЭЖХ Определение проводят методом ВЭЖХ одновременно с метод икой «Ко-"
